Tag;Übung;Muskelgruppe;Sätze;Wiederholungen;Gewicht;Pause;Seite
Push;Bankdrücken;Brust;3;8-12;60;120;
Push;Schrägbankdrücken Kurzhantel;Brust;3;10-12;22;90;
Push;Schulterdrücken;Schultern;3;8-10;30;90;
Push;Seitheben;Schultern;3;12-15;10;60;
Push;Kabel-Seitheben einseitig;Schultern;3;12-15;7;45;ja
Push;Trizeps Pushdown;Trizeps;3;12-15;25;60;
Pull;Klimmzüge;Rücken;3;6-10;0;120;
Pull;Langhantelrudern;Rücken;3;8-12;50;90;
Pull;Latzug;Rücken;3;10-12;55;90;
Pull;Bizeps Curls;Bizeps;3;10-12;14;60;
Beine;Kniebeuge;Beine;4;6-10;80;150;
Beine;Beinpresse;Beine;3;10-12;120;120;
Beine;Beinbeuger;Beine;3;12-15;40;75;
Beine;Wadenheben;Waden;4;15-20;60;45;
